市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
ZC,CF705,2017-05-04 21:01:46.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,27,15
ZC,CF705,2017-05-04 21:01:46.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,26,15
ZC,CF705,2017-05-04 21:01:47.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,23,15
ZC,CF705,2017-05-04 21:01:47.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,15
ZC,CF705,2017-05-04 21:01:48.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,31,15
ZC,CF705,2017-05-04 21:01:48.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,26,15
ZC,CF705,2017-05-04 21:01:49.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,22,15
ZC,CF705,2017-05-04 21:01:49.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,17,15
ZC,CF705,2017-05-04 21:01:50.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,27,15
ZC,CF705,2017-05-04 21:01:52.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,26,15
ZC,CF705,2017-05-04 21:01:52.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,25,15
ZC,CF705,2017-05-04 21:01:53.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,29,15
ZC,CF705,2017-05-04 21:01:53.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,15
ZC,CF705,2017-05-04 21:01:55.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,29,15
ZC,CF705,2017-05-04 21:01:56.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,27,15
